reservoir_size,density,input_scaling,spectral_radius,beta,training_time,rmse,nrmse
250,0.15,0.3,1.0,0.0001,0.9070447666666667,6.49706089681088,0.5243666015352292
250,0.2,0.1,0.9,0.01,0.9602653,6.408519467783178,0.5172205752055209
250,0.2,0.1,0.9,0.001,0.9613617166666667,6.40094281643935,0.5166090767173152
250,0.2,0.1,0.9,0.0001,0.9666007333333333,6.38741358786492,0.5155171559670496
250,0.2,0.1,0.95,0.01,0.96723505,6.4027921941450465,0.5167583368085923
250,0.2,0.1,0.95,0.001,0.9574603333333334,6.3957333309415025,0.5161886281099158
250,0.2,0.1,0.95,0.0001,0.96963325,6.384058203278293,0.515246348652715
250,0.2,0.1,1.0,0.01,0.9640592333333333,6.398676423992655,0.5164261600841031
250,0.2,0.1,1.0,0.001,0.9502758666666666,6.392375345492828,0.5159176108844823
250,0.2,0.1,1.0,0.0001,0.9665909500000001,6.382688752253066,0.5151358226177167
250,0.2,0.2,0.9,0.01,0.9747221166666667,6.432643596828549,0.5191675921357036
250,0.2,0.2,0.9,0.001,0.9719784666666667,6.411522245948193,0.5174629242625116
250,0.2,0.2,0.9,0.0001,0.9816496166666667,6.406191411938926,0.5170326818256338
250,0.2,0.2,0.95,0.01,0.9791286833333334,6.436158688154365,0.5194512891060535
250,0.2,0.2,0.95,0.001,0.9509848166666667,6.415394342392703,0.5177754345014753
250,0.2,0.2,0.95,0.0001,0.953156,6.410702433762963,0.5173967586321914
250,0.2,0.2,1.0,0.01,0.9597452666666667,6.440473621090187,0.5197995399159728
250,0.2,0.2,1.0,0.001,0.9494052833333334,6.418961862981103,0.5180633629473614
250,0.2,0.2,1.0,0.0001,0.9456471666666667,6.414355962248756,0.51769162862743
250,0.2,0.3,0.9,0.01,0.9472889333333333,6.490175934616746,0.5238109280876848
250,0.2,0.3,0.9,0.001,0.9635074333333333,6.474925761729084,0.5225801128841744
250,0.2,0.3,0.9,0.0001,0.9539904,6.469103882171582,0.5221102390063393
250,0.2,0.3,0.95,0.01,0.9548126499999999,6.4892026466268735,0.5237323756893512
250,0.2,0.3,0.95,0.001,0.95089575,6.4731242111006715,0.5224347128339797
250,0.2,0.3,0.95,0.0001,0.9600203666666667,6.467012921530143,0.5219414811721573
250,0.2,0.3,1.0,0.01,0.9548462666666667,6.487889014478792,0.5236263546998458
250,0.2,0.3,1.0,0.001,0.9686586333333334,6.471106301039628,0.5222718507863987
250,0.2,0.3,1.0,0.0001,0.9598990333333333,6.464634136188534,0.5217494935018595
350,0.1,0.1,0.9,0.01,1.289254,6.338659550436445,0.5115823015269381
350,0.1,0.1,0.9,0.001,1.2956429833333334,6.311898131510669,0.5094224334700975
350,0.1,0.1,0.9,0.0001,1.3040832666666666,6.294094779139772,0.5079855555453048
350,0.1,0.1,0.95,0.01,1.2925042333333332,6.325813714333286,0.5105455362066995
350,0.1,0.1,0.95,0.001,1.2976933833333333,6.301582833596874,0.5085899035312855
350,0.1,0.1,0.95,0.0001,1.3096854833333333,6.286212155314366,0.507349362544784
350,0.1,0.1,1.0,0.01,1.3174515,6.3164422053372125,0.5097891778468848
350,0.1,0.1,1.0,0.001,1.2930270666666668,6.295994679262422,0.5081388932138896
350,0.1,0.1,1.0,0.0001,1.3117789833333333,6.284166080710207,0.507184227385408
350,0.1,0.2,0.9,0.01,1.2966676333333333,6.325757199946832,0.5105409750278475
350,0.1,0.2,0.9,0.001,1.3040577999999998,6.329606493673119,0.510851644898674
350,0.1,0.2,0.9,0.0001,1.3244239833333333,6.331655414929774,0.5110170098064729
350,0.1,0.2,0.95,0.01,1.3210139166666666,6.328271349913134,0.5107438877439999
350,0.1,0.2,0.95,0.001,1.3124739166666666,6.331863881559183,0.5110338347892972
350,0.1,0.2,0.95,0.0001,1.3119994499999998,6.333581859205061,0.5111724898079263
350,0.1,0.2,1.0,0.01,1.3110211666666667,6.332356360215901,0.5110735818939732
350,0.1,0.2,1.0,0.001,1.3294133333333333,6.335705774684946,0.511343907370394
350,0.1,0.2,1.0,0.0001,1.3176840666666665,6.337056889374455,0.5114529535112992
350,0.1,0.3,0.9,0.01,1.3199476166666666,6.355969580946257,0.5129793642934818
350,0.1,0.3,0.9,0.001,1.3171475000000001,6.359753542368071,0.5132847613064713
350,0.1,0.3,0.9,0.0001,1.31626835,6.366205018687361,0.51380544885522
350,0.1,0.3,0.95,0.01,1.3138022166666665,6.35632995161884,0.5130084491901569
350,0.1,0.3,0.95,0.001,1.3218297833333332,6.359670342272077,0.5132780463699367
350,0.1,0.3,0.95,0.0001,1.2577737666666666,6.366253755576279,0.5138093823256333
350,0.1,0.3,1.0,0.01,1.284644,6.356679497343081,0.5130366604238843
350,0.1,0.3,1.0,0.001,1.321992,6.359671439300651,0.5132781349092245
350,0.1,0.3,1.0,0.0001,1.30396125,6.366362475417623,0.5138181569168878
350,0.15,0.1,0.9,0.01,1.3136231333333332,6.2514111612288685,0.5045406342153916
350,0.15,0.1,0.9,0.001,1.3200715333333333,6.24619289037543,0.5041194765570648
350,0.15,0.1,0.9,0.0001,1.3192503833333333,6.257595313429212,0.5050397464946474
350,0.15,0.1,0.95,0.01,1.3162172666666665,6.244989559850237,0.5040223578216796
350,0.15,0.1,0.95,0.001,1.3439269166666667,6.240229228852952,0.5036381597008871
350,0.15,0.1,0.95,0.0001,1.3242701333333333,6.253095743044409,0.5046765939140389
350,0.15,0.1,1.0,0.01,1.3247980333333333,6.2409410381790185,0.5036956086063504
350,0.15,0.1,1.0,0.001,1.3260218833333333,6.23537885409947,0.503246694303525
350,0.15,0.1,1.0,0.0001,1.3567887333333333,6.246975859743432,0.5041826686670244
350,0.15,0.2,0.9,0.01,1.33624735,6.379148024912048,0.5148500566087073
350,0.15,0.2,0.9,0.001,1.2991093,6.374686796249052,0.5144899985224679
350,0.15,0.2,0.9,0.0001,1.3107993666666669,6.371975624533737,0.5142711845200878
350,0.15,0.2,0.95,0.01,1.3039773666666667,6.396882420247401,0.5162813691298577
350,0.15,0.2,0.95,0.001,1.3174945666666666,6.391028010373854,0.5158088697862093
350,0.15,0.2,0.95,0.0001,1.30923005,6.387461034402117,0.5155209852953966
350,0.15,0.2,1.0,0.01,1.3229688166666667,6.414596069446746,0.5177110072660812
350,0.15,0.2,1.0,0.001,1.2994756833333334,6.407264713524075,0.517119306149088
350,0.15,0.2,1.0,0.0001,1.3002720833333332,6.402752474916908,0.5167551311380584
350,0.15,0.3,0.9,0.01,1.3056406333333332,6.3699358767552114,0.5141065599879183
350,0.15,0.3,0.9,0.001,1.3153297666666668,6.368689541039563,0.5140059703776366
350,0.15,0.3,0.9,0.0001,1.3116164,6.376120133155338,0.5146056806769592
350,0.15,0.3,0.95,0.01,1.304759,6.374312481768807,0.514459788245078
350,0.15,0.3,0.95,0.001,1.2706971333333332,6.371317842737349,0.5142180960835467
350,0.15,0.3,0.95,0.0001,1.3044052333333334,6.377305599012143,0.5147013575857095
350,0.15,0.3,1.0,0.01,1.2727840833333335,6.380208863672984,0.5149356750790717
350,0.15,0.3,1.0,0.001,1.3254315,6.375073552996454,0.514521212993823
350,0.15,0.3,1.0,0.0001,1.3406346666666666,6.379589541728744,0.5148856906709962
350,0.2,0.1,0.9,0.01,1.349976,6.23868100065154,0.5035132048677295
350,0.2,0.1,0.9,0.001,1.3241254333333332,6.219562531850403,0.5019701861595732
350,0.2,0.1,0.9,0.0001,1.3378002833333333,6.211982199170877,0.5013583905571001
350,0.2,0.1,0.95,0.01,1.3203679000000001,6.2441871335237575,0.5039575953740927
350,0.2,0.1,0.95,0.001,1.3184593,6.223333313024018,0.502274519417418
350,0.2,0.1,0.95,0.0001,1.3279325166666667,6.213161974687644,0.5014536082083006
350,0.2,0.1,1.0,0.01,1.3197241333333334,6.248127519259535,0.5042756171242078
350,0.2,0.1,1.0,0.001,1.3232606,6.22697057131299,0.5025680762730772
350,0.2,0.1,1.0,0.0001,1.3125937833333334,6.214419765381302,0.50155512233014
350,0.2,0.2,0.9,0.01,1.31228275,6.370667028995419,0.5141655700266868
350,0.2,0.2,0.9,0.001,1.3137412,6.371182452952479,0.5142071690070575
350,0.2,0.2,0.9,0.0001,1.3122878500000001,6.375142027154922,0.5145267394252878
350,0.2,0.2,0.95,0.01,1.3304621833333334,6.367525499066049,0.5139120225536297
350,0.2,0.2,0.95,0.001,1.32090825,6.367462962786538,0.5139069753581547
350,0.2,0.2,0.95,0.0001,1.3099734666666667,6.371163029352689,0.5142056013617525
350,0.2,0.2,1.0,0.01,1.3165496166666666,6.363412282443348,0.5135800519201263
350,0.2,0.2,1.0,0.001,1.3155947166666666,6.362830847767238,0.513533125328246
350,0.2,0.2,1.0,0.0001,1.3168663833333334,6.366242448426594,0.5138084697450453
350,0.2,0.3,0.9,0.01,1.3189792999999999,6.386593942344773,0.5154510037879814
350,0.2,0.3,0.9,0.001,1.2930631333333333,6.392499882402051,0.5159276620440593
350,0.2,0.3,0.9,0.0001,1.3244707833333333,6.3984915459959275,0.5164112388992194
350,0.2,0.3,0.95,0.01,1.31118475,6.39007347516671,0.5157318308926903
350,0.2,0.3,0.95,0.001,1.2402467,6.394388076906721,0.5160800549723659
350,0.2,0.3,0.95,0.0001,1.3103417166666667,6.400531604487888,0.5165758885085353
350,0.2,0.3,1.0,0.01,1.31662005,6.393800239722382,0.516032611645067
350,0.2,0.3,1.0,0.001,1.3219741999999999,6.39637284716287,0.5162402423633377
350,0.2,0.3,1.0,0.0001,1.3182226166666666,6.402608850854371,0.5167435394871923
450,0.1,0.1,0.9,0.01,1.7694241333333334,6.175186630852833,0.4983886835746766
450,0.1,0.1,0.9,0.001,1.7766171666666668,6.193855726045462,0.4998954341124008
450,0.1,0.1,0.9,0.0001,1.7580895666666665,6.202549602437823,0.5005971019111846
450,0.1,0.1,0.95,0.01,1.7654197,6.182135954581845,0.4989495515309149
450,0.1,0.1,0.95,0.001,1.7608479166666666,6.198426889226633,0.5002643648243709
450,0.1,0.1,0.95,0.0001,1.776422,6.204343191983838,0.5007418594361225
450,0.1,0.1,1.0,0.01,1.7870434333333334,6.187819281551667,0.49940824306789
450,0.1,0.1,1.0,0.001,1.7526447333333333,6.200960994744088,0.5004688881187073
450,0.1,0.1,1.0,0.0001,1.7489506833333333,6.203789864084264,0.5006972012937959
450,0.1,0.2,0.9,0.01,1.72435245,6.325613437149637,0.510529372179946
450,0.1,0.2,0.9,0.001,1.7255094166666667,6.325047012825853,0.5104836570477644
450,0.1,0.2,0.9,0.0001,1.7414723166666666,6.319566366672089,0.5100413235305772
450,0.1,0.2,0.95,0.01,1.7328222999999998,6.323958755829319,0.5103958256988003
450,0.1,0.2,0.95,0.001,1.7507556666666666,6.323977799113282,0.5103973626494696
450,0.1,0.2,0.95,0.0001,1.7290974833333335,6.31934043909434,0.5100230893046681
